Potential (V)	 Current (A)	 Elapsed Time (s)
0.30134432	 -0.00033709717	 15.065
0.30364286	 -0.00033642578	 15.18
0.3059414	 -0.00033575439	 15.295
0.30823994	 -0.00033569336	 15.41
0.31053849	 -0.0003359375	 15.525
0.31283703	 -0.00033599854	 15.64
0.31513557	 -0.00033526611	 15.755
0.31745166	 -0.00033435059	 15.87
0.3197502	 -0.00033477783	 15.985
0.32204874	 -0.00033520508	 16.1
0.32434728	 -0.00033538818	 16.215
0.32664582	 -0.00033544922	 16.33
0.32894436	 -0.00033575439	 16.445
0.3312429	 -0.00033605957	 16.56
0.33354145	 -0.00033636475	 16.675
0.33583999	 -0.00033642578	 16.79
0.33813853	 -0.00033618164	 16.905
0.34043707	 -0.0003359375	 17.02
0.34273561	 -0.00033618164	 17.135
0.34503415	 -0.00033624268	 17.25
0.34733269	 -0.00033636475	 17.365
0.34964878	 -0.00033605957	 17.48
0.35194732	 -0.00033551025	 17.595
0.35424586	 -0.00033514404	 17.71
0.35654441	 -0.00033447266	 17.825
0.35884295	 -0.00033392334	 17.94
0.36114149	 -0.00033514404	 18.055
0.36344003	 -0.0003338623	 18.17
0.36573857	 -0.00033221436	 18.285
0.36803711	 -0.00033306885	 18.4
0.37033565	 -0.00033374023	 18.515
0.37263419	 -0.0003338623	 18.63
0.37493274	 -0.00033361816	 18.745
0.37723128	 -0.00033398438	 18.86
0.37952982	 -0.00033416748	 18.975
0.38182836	 -0.00033404541	 19.09
0.38414445	 -0.00033502197	 19.205
0.38644299	 -0.00033496094	 19.32
0.38874153	 -0.00033233643	 19.435
0.39104007	 -0.00033105469	 19.55
0.39333861	 -0.00033129883	 19.665
0.39563715	 -0.00033166504	 19.78
0.3979357	 -0.00033294678	 19.895
0.40023424	 -0.00033282471	 20.01
0.40253278	 -0.00033453369	 20.125
0.40483132	 -0.00033581543	 20.24
0.40712986	 -0.00033392334	 20.355
0.4094284	 -0.00033337402	 20.47
0.41172694	 -0.00032989502	 20.585
0.41402549	 -0.00033258057	 20.7
0.41634157	 -0.00033099365	 20.815
0.41864011	 -0.0003291626	 20.93
0.42093866	 -0.00032879639	 21.045
0.4232372	 -0.00032867432	 21.16
0.42553574	 -0.00032891846	 21.275
0.42783428	 -0.000328125	 21.39
0.43013282	 -0.00032775879	 21.505
0.43243136	 -0.00032769775	 21.62
0.4347299	 -0.00032739258	 21.735
0.43702845	 -0.00032769775	 21.85
0.43932699	 -0.00032788086	 21.965
0.44162553	 -0.00032769775	 22.08
0.44392407	 -0.00032788086	 22.195
0.44622261	 -0.00032769775	 22.31
0.44852115	 -0.00032751465	 22.425
0.45083724	 -0.00032678223	 22.54
0.45313578	 -0.00032592773	 22.655
0.45543432	 -0.00032550049	 22.77
0.45773286	 -0.00032537842	 22.885
0.46003141	 -0.00032556152	 23
0.46232995	 -0.00032562256	 23.115
0.46462849	 -0.00032580566	 23.23
0.46692703	 -0.00032556152	 23.345
0.46922557	 -0.00032556152	 23.46
0.47152411	 -0.00032611084	 23.575
0.47382265	 -0.00032519531	 23.69
0.47612119	 -0.0003248291	 23.805
0.47841974	 -0.00032446289	 23.92
0.48071828	 -0.00032366943	 24.035
0.48303436	 -0.00032330322	 24.15
0.48533291	 -0.00032354736	 24.265
0.48763145	 -0.00032391357	 24.38
0.48992999	 -0.00032391357	 24.495
0.49222853	 -0.00032287598	 24.61
0.49452707	 -0.00032183838	 24.725
0.49682561	 -0.00032128906	 24.84
0.49912415	 -0.00032128906	 24.955
0.5014227	 -0.00032092285	 25.07
0.50372124	 -0.00032128906	 25.185
0.50601978	 -0.00032110596	 25.3
0.50831832	 -0.00032019043	 25.415
0.51061686	 -0.00032025146	 25.53
0.5129154	 -0.00031976318	 25.645
0.51523149	 -0.00031890869	 25.76
0.51753003	 -0.00031817627	 25.875
0.51982857	 -0.00031817627	 25.99
0.52212711	 -0.0003182373	 26.105
0.52442566	 -0.00031811523	 26.22
0.5267242	 -0.00031835938	 26.335
0.52902274	 -0.00031866455	 26.45
0.53132128	 -0.00031921387	 26.565
0.53361982	 -0.00031939697	 26.68
0.53591836	 -0.00031848145	 26.795
0.5382169	 -0.0003180542	 26.91
0.54051545	 -0.00031756592	 27.025
0.54281399	 -0.00031677246	 27.14
0.54511253	 -0.00031616211	 27.255
0.54741107	 -0.00031634521	 27.37
0.54972716	 -0.00031591797	 27.485
0.5520257	 -0.00031622314	 27.6
0.55432424	 -0.00031671143	 27.715
0.55662278	 -0.00031628418	 27.83
0.55892132	 -0.00031585693	 27.945
0.56121986	 -0.00031536865	 28.06
0.5635184	 -0.00031451416	 28.175
0.56581695	 -0.00031347656	 28.29
0.56811549	 -0.00031274414	 28.405
0.57041403	 -0.00031195068	 28.52
0.57271257	 -0.00031121826	 28.635
0.57501111	 -0.00031134033	 28.75
0.57730965	 -0.00031103516	 28.865
0.57960819	 -0.00030926514	 28.98
0.58192428	 -0.00030847168	 29.095
0.58422282	 -0.00030865479	 29.21
0.58652136	 -0.00030841064	 29.325
0.58881991	 -0.00030786133	 29.44
0.59111845	 -0.00030761719	 29.555
0.59341699	 -0.00030773926	 29.67
0.59571553	 -0.00030773926	 29.785
0.59801407	 -0.00030755615	 29.9
0.60031261	 -0.00030731201	 30.015
0.60261115	 -0.00030700684	 30.13
0.6049097	 -0.00030633545	 30.245
0.60720824	 -0.00030603027	 30.36
0.60950678	 -0.00030584717	 30.475
0.61180532	 -0.00030596924	 30.59
0.61412141	 -0.0003057251	 30.705
0.61641995	 -0.00030529785	 30.82
0.61871849	 -0.00030456543	 30.935
0.62101703	 -0.0003034668	 31.05
0.62331557	 -0.00030322266	 31.165
0.62561411	 -0.00030206299	 31.28
0.62791266	 -0.0003012085	 31.395
0.6302112	 -0.00030096436	 31.51
0.63250974	 -0.00030072021	 31.625
0.63480828	 -0.000300354	 31.74
0.63710682	 -0.00029962158	 31.855
0.63940536	 -0.00029907227	 31.97
0.6417039	 -0.0002980957	 32.085
0.64400245	 -0.00029699707	 32.2
0.64630099	 -0.00029656982	 32.315
0.64861707	 -0.00029644775	 32.43
0.65091562	 -0.00029589844	 32.545
0.65321416	 -0.00029498291	 32.66
0.6555127	 -0.00029431152	 32.775
0.65781124	 -0.00029400635	 32.89
0.66010978	 -0.00029370117	 33.005
0.66240832	 -0.00029327393	 33.12
0.66470686	 -0.00029180908	 33.235
0.6670054	 -0.00029119873	 33.35
0.66930395	 -0.00029034424	 33.465
0.67160249	 -0.00028997803	 33.58
0.67390103	 -0.00029016113	 33.695
0.67619957	 -0.00028863525	 33.81
0.67849811	 -0.00028820801	 33.925
0.6808142	 -0.00028710937	 34.04
0.68311274	 -0.00028735352	 34.155
0.68541128	 -0.00028649902	 34.27
0.68770982	 -0.00028527832	 34.385
0.69000836	 -0.00028369141	 34.5
0.69230691	 -0.00028259277	 34.615
0.69460545	 -0.00028155518	 34.73
0.69690399	 -0.00028094482	 34.845
0.69920253	 -0.00027960205	 34.96
0.70150107	 -0.00027856445	 35.075
0.70379961	 -0.00027832031	 35.19
0.70609815	 -0.0002779541	 35.305
0.7083967	 -0.00027709961	 35.42
0.71069524	 -0.00027575684	 35.535
0.71301132	 -0.00027423096	 35.65
0.71530987	 -0.00027307129	 35.765
0.71760841	 -0.00027264404	 35.88
0.71990695	 -0.00027252197	 35.995
0.72220549	 -0.00027178955	 36.11
0.72450403	 -0.00027001953	 36.225
0.72680257	 -0.0002689209	 36.34
0.72910111	 -0.00026806641	 36.455
0.73139966	 -0.00026727295	 36.57
0.7336982	 -0.00026593018	 36.685
0.73599674	 -0.00026403809	 36.8
0.73829528	 -0.0002623291	 36.915
0.74059382	 -0.00026153564	 37.03
0.74289236	 -0.00026037598	 37.145
0.7451909	 -0.0002588501	 37.26
0.74750699	 -0.00025695801	 37.375
0.74980553	 -0.00025543213	 37.49
0.75210407	 -0.00025372314	 37.605
0.75440262	 -0.00025231934	 37.72
0.75670116	 -0.00025054932	 37.835
0.7589997	 -0.00024871826	 37.95
0.76129824	 -0.00024755859	 38.065
0.76359678	 -0.00024645996	 38.18
0.76589532	 -0.00024505615	 38.295
0.76819386	 -0.00024328613	 38.41
0.7704924	 -0.00024121094	 38.525
0.77279095	 -0.0002387085	 38.64
0.77508949	 -0.00023706055	 38.755
0.77738803	 -0.00023529053	 38.87
0.77970412	 -0.00023327637	 38.985
0.78200266	 -0.00023083496	 39.1
0.7843012	 -0.00022833252	 39.215
0.78659974	 -0.00022668457	 39.33
0.78889828	 -0.00022509766	 39.445
0.79119682	 -0.00022357178	 39.56
0.79349536	 -0.00022192383	 39.675
0.79579391	 -0.00021984863	 39.79
0.79809245	 -0.00021765137	 39.905
0.80039099	 -0.00021520996	 40.02
0.80268953	 -0.00021282959	 40.135
0.80498807	 -0.00021002197	 40.25
0.80728661	 -0.00020684814	 40.365
0.80958515	 -0.00020422363	 40.48
0.81190124	 -0.00020147705	 40.595
0.81419978	 -0.00019921875	 40.71
0.81649832	 -0.00019671631	 40.825
0.81879687	 -0.00019372559	 40.94
0.82109541	 -0.00019140625	 41.055
0.82339395	 -0.00018865967	 41.17
0.82569249	 -0.00018585205	 41.285
0.82799103	 -0.00018243408	 41.4
0.83028957	 -0.00017895508	 41.515
0.83258811	 -0.00017602539	 41.63
0.83488666	 -0.00017297363	 41.745
0.8371852	 -0.00016931152	 41.86
0.83948374	 -0.00016558838	 41.975
0.84178228	 -0.00016168213	 42.09
