Potential (V)	 Current (A)	 Elapsed Time (s)
0.10005526	 -0.00012207031	 0
0.097756721	 -0.00043701172	 0.11500013
0.09545818	 -0.00043792725	 0.23000026
0.093159638	 -0.00043713379	 0.34499976
0.090861097	 -0.00043560791	 0.45999989
0.088545009	 -0.00043450928	 0.57500002
0.086246468	 -0.00043438721	 0.69000016
0.083947927	 -0.00043359375	 0.80500029
0.081649385	 -0.00043267822	 0.91999979
0.079350844	 -0.00042944336	 1.0349999
0.077052303	 -0.00042938232	 1.15
0.074753761	 -0.0004284668	 1.2650002
0.07245522	 -0.00042694092	 1.3800003
0.070156679	 -0.00042626953	 1.4949998
0.067858137	 -0.00042547607	 1.6099999
0.065559596	 -0.00042614746	 1.7250001
0.063261054	 -0.00042529297	 1.8400002
0.060962513	 -0.00042401123	 1.9549997
0.058663972	 -0.0004208374	 2.0699998
0.05636543	 -0.00041900635	 2.185
0.054049343	 -0.00041949463	 2.3000001
0.051750802	 -0.00042034912	 2.4150002
0.050662942	 -0.00041339111	 2.5299997
0.05297903	 -0.00040997314	 2.6449999
0.055277571	 -0.00040942383	 2.76
0.057576112	 -0.00040979004	 2.8750001
0.059874654	 -0.00040960693	 2.9900003
0.062173195	 -0.00040814209	 3.1049998
0.064471737	 -0.00040795898	 3.2199999
0.066770278	 -0.00040838623	 3.335
0.069068819	 -0.00041021729	 3.4500001
0.071367361	 -0.00041094971	 3.5650003
0.073665902	 -0.00041088867	 3.6799998
0.075964443	 -0.00041131592	 3.7949999
0.078262985	 -0.00041137695	 3.91
0.080561526	 -0.0004107666	 4.0250002
0.082860067	 -0.00041143799	 4.1400003
0.085158609	 -0.0004119873	 4.2549998
0.087474696	 -0.00041021729	 4.3699999
0.089773238	 -0.0004105835	 4.4850001
0.092071779	 -0.00041143799	 4.6000002
0.09437032	 -0.00041357422	 4.7149997
0.096668862	 -0.00041265869	 4.8299998
0.098967403	 -0.00041149902	 4.945
0.10126594	 -0.00041290283	 5.0600001
0.10356449	 -0.00041314697	 5.1750002
0.10586303	 -0.00041351318	 5.2899997
0.10816157	 -0.00041442871	 5.4049999
0.11046011	 -0.00041351318	 5.52
0.11275865	 -0.00041345215	 5.6350001
0.11505719	 -0.00041595459	 5.7500002
0.11735573	 -0.00041540527	 5.8649997
0.11967182	 -0.00041387939	 5.9799999
0.12197036	 -0.00041412354	 6.095
0.1242689	 -0.00041522217	 6.2100001
0.12656745	 -0.00041693115	 6.3250003
0.12886599	 -0.00041516113	 6.4399998
0.13116453	 -0.00041546631	 6.5549999
0.13346307	 -0.00041619873	 6.67
0.13576161	 -0.00041571045	 6.7850002
0.13806015	 -0.00041601562	 6.9000003
0.14035869	 -0.00041540527	 7.0149998
0.14265724	 -0.00041595459	 7.1299999
0.14495578	 -0.00041711426	 7.2450001
0.14725432	 -0.00041711426	 7.3600002
0.14955286	 -0.00041705322	 7.4749997
0.15186895	 -0.00041644287	 7.5899998
0.15416749	 -0.00041723633	 7.7049999
0.15646603	 -0.00041784668	 7.8200001
0.15876457	 -0.00041870117	 7.9350002
0.16106311	 -0.00041882324	 8.0499997
0.16336165	 -0.00041705322	 8.1649998
0.1656602	 -0.00041717529	 8.28
0.16795874	 -0.00041833496	 8.3950001
0.17025728	 -0.00042022705	 8.5100002
0.17255582	 -0.00042028809	 8.6249997
0.17485436	 -0.00041931152	 8.7399999
0.1771529	 -0.00042004395	 8.855
0.17945144	 -0.00041912842	 8.9700001
0.18174998	 -0.00042041016	 9.0850003
0.18404853	 -0.00042102051	 9.1999998
0.18636461	 -0.00042114258	 9.3149999
0.18866315	 -0.00042132568	 9.43
0.1909617	 -0.00042102051	 9.5450002
0.19326024	 -0.00042028809	 9.6600003
0.19555878	 -0.0004206543	 9.7749998
0.19785732	 -0.00042071533	 9.8899999
0.20015586	 -0.00042022705	 10.005
0.2024544	 -0.00041967773	 10.12
0.20475294	 -0.00042144775	 10.235
0.20705149	 -0.00041894531	 10.35
0.20935003	 -0.00042218018	 10.465
0.21164857	 -0.00042382813	 10.58
0.21394711	 -0.00042297363	 10.695
0.21624565	 -0.00042303467	 10.81
0.21856174	 -0.00042333984	 10.925
0.22086028	 -0.00042376709	 11.04
0.22315882	 -0.00042425537	 11.155
0.22545736	 -0.00042419434	 11.27
0.2277559	 -0.00042327881	 11.385
0.23005445	 -0.00042358398	 11.5
0.23235299	 -0.00042462158	 11.615
0.23465153	 -0.00042462158	 11.73
0.23695007	 -0.00042529297	 11.845
0.23924861	 -0.00042382813	 11.96
0.24154715	 -0.00042523193	 12.075
0.24384569	 -0.00042449951	 12.19
0.24614424	 -0.00042340088	 12.305
0.24844278	 -0.00042523193	 12.42
0.25075886	 -0.00042645264	 12.535
0.25305741	 -0.0004263916	 12.65
0.25535595	 -0.00042712402	 12.765
0.25765449	 -0.00042590332	 12.88
0.25995303	 -0.00042449951	 12.995
0.26225157	 -0.00042498779	 13.11
0.26455011	 -0.00042553711	 13.225
0.26684865	 -0.00042559814	 13.34
0.26914719	 -0.00042651367	 13.455
0.27144574	 -0.00042626953	 13.57
0.27374428	 -0.00042474365	 13.685
0.27604282	 -0.00042675781	 13.8
0.27834136	 -0.0004274292	 13.915
0.2806399	 -0.00042730713	 14.03
0.28293844	 -0.0004286499	 14.145
0.28525453	 -0.00042980957	 14.26
0.28755307	 -0.00042956543	 14.375
0.28985161	 -0.00042779541	 14.49
0.29215015	 -0.00042718506	 14.605
0.2944487	 -0.0004263916	 14.72
0.29674724	 -0.00043017578	 14.835
0.29904578	 -0.0004296875	 14.95
0.30134432	 -0.00042706299	 15.065
0.30364286	 -0.000425354	 15.18
0.3059414	 -0.00042724609	 15.295
0.30823994	 -0.00042852783	 15.41
0.31053849	 -0.00042822266	 15.525
0.31283703	 -0.0004274292	 15.64
0.31513557	 -0.00042602539	 15.755
0.31745166	 -0.00042553711	 15.87
0.3197502	 -0.00042694092	 15.985
0.32204874	 -0.00042779541	 16.1
0.32434728	 -0.00042749023	 16.215
0.32664582	 -0.00042651367	 16.33
0.32894436	 -0.00042749023	 16.445
0.3312429	 -0.00042694092	 16.56
0.33354145	 -0.0004274292	 16.675
0.33583999	 -0.00042706299	 16.79
0.33813853	 -0.00042700195	 16.905
0.34043707	 -0.00042608643	 17.02
0.34273561	 -0.0004239502	 17.135
0.34503415	 -0.00042437744	 17.25
0.34733269	 -0.0004241333	 17.365
0.34964878	 -0.00042480469	 17.48
0.35194732	 -0.00042327881	 17.595
0.35424586	 -0.00042333984	 17.71
0.35654441	 -0.00042382813	 17.825
0.35884295	 -0.00042358398	 17.94
0.36114149	 -0.00042211914	 18.055
0.36344003	 -0.00042156982	 18.17
0.36573857	 -0.00042175293	 18.285
0.36803711	 -0.00042242432	 18.4
0.37033565	 -0.00042254639	 18.515
0.37263419	 -0.00042144775	 18.63
0.37493274	 -0.00042053223	 18.745
0.37723128	 -0.00042077637	 18.86
0.37952982	 -0.00042077637	 18.975
0.38182836	 -0.00041949463	 19.09
0.38414445	 -0.00041833496	 19.205
0.38644299	 -0.00041796875	 19.32
0.38874153	 -0.00041809082	 19.435
0.39104007	 -0.00041870117	 19.55
0.39333861	 -0.00041925049	 19.665
0.39563715	 -0.00041918945	 19.78
0.3979357	 -0.00041827393	 19.895
0.40023424	 -0.00041790771	 20.01
0.40253278	 -0.00041802979	 20.125
0.40483132	 -0.00041662598	 20.24
0.40712986	 -0.00041473389	 20.355
0.4094284	 -0.00041461182	 20.47
0.41172694	 -0.00041448975	 20.585
0.41402549	 -0.00041375732	 20.7
0.41634157	 -0.00041278076	 20.815
0.41864011	 -0.00041339111	 20.93
0.42093866	 -0.00041455078	 21.045
0.4232372	 -0.00041485596	 21.16
0.42553574	 -0.0004140625	 21.275
0.42783428	 -0.00041442871	 21.39
0.43013282	 -0.00041387939	 21.505
0.43243136	 -0.00041326904	 21.62
0.4347299	 -0.00041247559	 21.735
0.43702845	 -0.00040997314	 21.85
0.43932699	 -0.00041064453	 21.965
0.44162553	 -0.00041137695	 22.08
0.44392407	 -0.00041192627	 22.195
0.44622261	 -0.00041174316	 22.31
0.44852115	 -0.00041088867	 22.425
0.45083724	 -0.00041070557	 22.54
0.45313578	 -0.00041033936	 22.655
0.45543432	 -0.00040936279	 22.77
0.45773286	 -0.00040917969	 22.885
0.46003141	 -0.00040722656	 23
0.46232995	 -0.00040795898	 23.115
0.46462849	 -0.00040789795	 23.23
0.46692703	 -0.00040533447	 23.345
0.46922557	 -0.00040460205	 23.46
0.47152411	 -0.00040490723	 23.575
0.47382265	 -0.00040472412	 23.69
0.47612119	 -0.0004039917	 23.805
0.47841974	 -0.00040539551	 23.92
0.48071828	 -0.00040563965	 24.035
0.48303436	 -0.00040478516	 24.15
0.48533291	 -0.00040380859	 24.265
0.48763145	 -0.00040209961	 24.38
0.48992999	 -0.00040246582	 24.495
0.49222853	 -0.00040228271	 24.61
0.49452707	 -0.00040209961	 24.725
0.49682561	 -0.00040197754	 24.84
0.49912415	 -0.00040209961	 24.955
0.5014227	 -0.0004005127	 25.07
0.50372124	 -0.00039880371	 25.185
0.50601978	 -0.00039916992	 25.3
0.50831832	 -0.00039855957	 25.415
0.51061686	 -0.00039746094	 25.53
0.5129154	 -0.00039807129	 25.645
0.51523149	 -0.00039801025	 25.76
0.51753003	 -0.00039788818	 25.875
0.51982857	 -0.00039746094	 25.99
0.52212711	 -0.00039666748	 26.105
0.52442566	 -0.00039508057	 26.22
0.5267242	 -0.00039282227	 26.335
0.52902274	 -0.00039428711	 26.45
0.53132128	 -0.00039385986	 26.565
0.53361982	 -0.00039385986	 26.68
0.53591836	 -0.00039428711	 26.795
0.5382169	 -0.00039434814	 26.91
0.54051545	 -0.00039404297	 27.025
0.54281399	 -0.00039312744	 27.14
0.54511253	 -0.00039196777	 27.255
0.54741107	 -0.00039135742	 27.37
0.54972716	 -0.00038989258	 27.485
0.5520257	 -0.00038989258	 27.6
0.55432424	 -0.00038885498	 27.715
0.55662278	 -0.00038934326	 27.83
0.55892132	 -0.00038922119	 27.945
0.56121986	 -0.00038818359	 28.06
0.5635184	 -0.00038726807	 28.175
0.56581695	 -0.00038647461	 28.29
0.56811549	 -0.00038470459	 28.405
