Potential (V)	 Current (A)	 Elapsed Time (s)
0.28985161	 1.6497803e-006	 14.49
0.29215015	 1.6741333e-006	 14.605
0.2944487	 1.6976318e-006	 14.72
0.29674724	 1.7265625e-006	 14.835
0.29904578	 1.7410889e-006	 14.95
0.30134432	 1.7702637e-006	 15.065
0.30364286	 1.8079224e-006	 15.18
0.3059414	 1.8567505e-006	 15.295
0.30823994	 2.3492432e-006	 15.41
0.31053849	 1.9390869e-006	 15.525
0.31283703	 1.9628906e-006	 15.64
0.31513557	 1.9946289e-006	 15.755
0.31745166	 2.0385742e-006	 15.87
0.3197502	 2.0800781e-006	 15.985
0.32204874	 2.1063232e-006	 16.1
0.32434728	 2.1380615e-006	 16.215
0.32664582	 2.1838379e-006	 16.33
0.32894436	 2.2424316e-006	 16.445
0.3312429	 2.2918701e-006	 16.56
0.33354145	 2.3291016e-006	 16.675
0.33583999	 2.3736572e-006	 16.79
0.33813853	 2.411499e-006	 16.905
0.34043707	 2.454834e-006	 17.02
0.34273561	 2.5091553e-006	 17.135
0.34503415	 2.5335693e-006	 17.25
0.34733269	 2.5762939e-006	 17.365
0.34964878	 2.6385498e-006	 17.48
0.35194732	 2.7056885e-006	 17.595
0.35424586	 2.7618408e-006	 17.71
0.35654441	 2.8045654e-006	 17.825
0.35884295	 2.8582764e-006	 17.94
0.36114149	 2.9034424e-006	 18.055
0.36344003	 2.946167e-006	 18.17
0.36573857	 3.0047607e-006	 18.285
0.36803711	 3.0401611e-006	 18.4
0.37033565	 3.0780029e-006	 18.515
0.37263419	 3.1311035e-006	 18.63
0.37493274	 3.1970215e-006	 18.745
0.37723128	 3.2550049e-006	 18.86
0.37952982	 3.3026123e-006	 18.975
0.38182836	 3.3544922e-006	 19.09
0.38414445	 3.4051514e-006	 19.205
0.38644299	 3.4429932e-006	 19.32
0.38874153	 3.4985352e-006	 19.435
0.39104007	 3.5321045e-006	 19.55
0.39333861	 3.5644531e-006	 19.665
0.39563715	 3.6151123e-006	 19.78
0.3979357	 3.6749268e-006	 19.895
0.40023424	 3.7237549e-006	 20.01
0.40253278	 3.7646484e-006	 20.125
0.40483132	 3.8043213e-006	 20.24
0.40712986	 3.8452148e-006	 20.355
0.4094284	 3.8757324e-006	 20.47
0.41172694	 3.9178467e-006	 20.585
0.41402549	 3.9416504e-006	 20.7
0.41634157	 3.9801025e-006	 20.815
0.41864011	 4.0161133e-006	 20.93
0.42093866	 4.0606689e-006	 21.045
0.4232372	 4.1107178e-006	 21.16
0.42553574	 4.1424561e-006	 21.275
0.42783428	 4.173584e-006	 21.39
0.43013282	 4.2016602e-006	 21.505
0.43243136	 4.2230225e-006	 21.62
0.4347299	 4.2529297e-006	 21.735
0.43702845	 4.276123e-006	 21.85
0.43932699	 4.2803955e-006	 21.965
0.44162553	 4.309082e-006	 22.08
0.44392407	 4.3493652e-006	 22.195
0.44622261	 4.3835449e-006	 22.31
0.44852115	 4.4158936e-006	 22.425
0.45083724	 4.4403076e-006	 22.54
0.45313578	 4.4628906e-006	 22.655
0.45543432	 4.4866943e-006	 22.77
0.45773286	 4.4989014e-006	 22.885
0.46003141	 4.5233154e-006	 23
0.46232995	 4.5263672e-006	 23.115
0.46462849	 4.5422363e-006	 23.23
0.46692703	 4.5727539e-006	 23.345
0.46922557	 4.6118164e-006	 23.46
0.47152411	 4.6386719e-006	 23.575
0.47382265	 4.6514893e-006	 23.69
0.47612119	 4.677124e-006	 23.805
0.47841974	 4.6911621e-006	 23.92
0.48071828	 4.6990967e-006	 24.035
0.48303436	 4.7393799e-006	 24.15
0.48533291	 4.7320557e-006	 24.265
0.48763145	 4.7467041e-006	 24.38
0.48992999	 4.7772217e-006	 24.495
0.49222853	 4.8199463e-006	 24.61
0.49452707	 4.8480225e-006	 24.725
0.49682561	 4.8614502e-006	 24.84
0.49912415	 4.887085e-006	 24.955
0.5014227	 4.9041748e-006	 25.07
0.50372124	 4.9133301e-006	 25.185
0.50601978	 4.9505615e-006	 25.3
0.50831832	 4.9560547e-006	 25.415
0.51061686	 4.9609375e-006	 25.53
0.5129154	 4.9926758e-006	 25.645
0.51523149	 5.0415039e-006	 25.76
0.51753003	 5.0805664e-006	 25.875
0.51982857	 5.1055908e-006	 25.99
0.52212711	 5.1275635e-006	 26.105
