Potential (V)	 Current (A)	 Elapsed Time (s)
0.10005526	 -0.00036621094	 0
0.097756721	 -0.00046691895	 0.11500013
0.09545818	 -0.00046606445	 0.23000026
0.093159638	 -0.00046575928	 0.34499976
0.090861097	 -0.00046429443	 0.45999989
0.088545009	 -0.00046270752	 0.57500002
0.086246468	 -0.00046234131	 0.69000016
0.083947927	 -0.00046087646	 0.80500029
0.081649385	 -0.00046038818	 0.91999979
0.079350844	 -0.00046032715	 1.0349999
0.077052303	 -0.00045782471	 1.15
0.074753761	 -0.00045690918	 1.2650002
0.07245522	 -0.00045355225	 1.3800003
0.070156679	 -0.00045532227	 1.4949998
0.067858137	 -0.00045501709	 1.6099999
0.065559596	 -0.00045373535	 1.7250001
0.063261054	 -0.00045227051	 1.8400002
0.060962513	 -0.0004508667	 1.9549997
0.058663972	 -0.00044995117	 2.0699998
0.05636543	 -0.00044891357	 2.185
0.054049343	 -0.00044787598	 2.3000001
0.051750802	 -0.00044744873	 2.4150002
0.050662942	 -0.00043811035	 2.5299997
0.05297903	 -0.00043695068	 2.6449999
0.055277571	 -0.00043664551	 2.76
0.057576112	 -0.00043621826	 2.8750001
0.059874654	 -0.00043566895	 2.9900003
0.062173195	 -0.00043505859	 3.1049998
0.064471737	 -0.00043572998	 3.2199999
0.066770278	 -0.0004364624	 3.335
0.069068819	 -0.00043719482	 3.4500001
0.071367361	 -0.00043829346	 3.5650003
0.073665902	 -0.00043811035	 3.6799998
0.075964443	 -0.00043896484	 3.7949999
0.078262985	 -0.00043994141	 3.91
0.080561526	 -0.0004395752	 4.0250002
0.082860067	 -0.00043981934	 4.1400003
0.085158609	 -0.00044110107	 4.2549998
0.087474696	 -0.00044030762	 4.3699999
0.089773238	 -0.00044134521	 4.4850001
0.092071779	 -0.00044281006	 4.6000002
0.09437032	 -0.00043945313	 4.7149997
0.096668862	 -0.00044293213	 4.8299998
0.098967403	 -0.00044299316	 4.945
0.10126594	 -0.00044390869	 5.0600001
0.10356449	 -0.00044335938	 5.1750002
0.10586303	 -0.00044421387	 5.2899997
0.10816157	 -0.00044372559	 5.4049999
0.11046011	 -0.00044433594	 5.52
0.11275865	 -0.00044494629	 5.6350001
0.11505719	 -0.00044549561	 5.7500002
0.11735573	 -0.00044561768	 5.8649997
0.11967182	 -0.0004465332	 5.9799999
0.12197036	 -0.00044708252	 6.095
0.1242689	 -0.00044622803	 6.2100001
0.12656745	 -0.00044628906	 6.3250003
0.12886599	 -0.00044512939	 6.4399998
0.13116453	 -0.00044689941	 6.5549999
0.13346307	 -0.00044702148	 6.67
0.13576161	 -0.00044671631	 6.7850002
0.13806015	 -0.00044781494	 6.9000003
0.14035869	 -0.00044689941	 7.0149998
0.14265724	 -0.000449646	 7.1299999
0.14495578	 -0.00044793701	 7.2450001
0.14725432	 -0.00044873047	 7.3600002
0.14955286	 -0.00044952393	 7.4749997
0.15186895	 -0.00044970703	 7.5899998
0.15416749	 -0.0004498291	 7.7049999
0.15646603	 -0.00045068359	 7.8200001
0.15876457	 -0.00045037842	 7.9350002
0.16106311	 -0.00044934082	 8.0499997
0.16336165	 -0.00045074463	 8.1649998
0.1656602	 -0.00045141602	 8.28
0.16795874	 -0.0004510498	 8.3950001
